😀;嘿嘿;笑脸|脸|高兴
🚎;无轨电车;公共汽车|电车
🚐;小巴;公共汽车|开车|移动房车
🚑;救护车;急救|车辆
🚒;消防车;救火车|火灾
🚓;警车;檀岛警騎|汽车|警察|巡逻
🚔;迎面驶来的警车;汽车|警察|警车
🚕;出租车;小黄|开车|汽车|的士|计程车
🚖;迎面驶来的出租车;优步|出租车|叫车|小黄|开车|的士
🚗;汽车;开车|轿车
🚘;迎面驶来的汽车;开车|汽车|轿车|迎面而来
🚙;运动型多用途车;SUV|休旅车|休闲车|开车|房车|汽车|车辆|轿车|驾驶
🛻;敞蓬小型载货卡车;交通工具|卡车|汽车|皮卡|车|载货
🚚;货车;卡车|开车|送货
🚛;铰接式货车;卡车|拖车|搬运|货车|铰接式卡车
🚜;拖拉机;
🏎️;赛车;汽车|疾驰|跑车
🏍️;摩托车;摩托|赛车
🛵;小型摩托车;摩托车|踏板车
🦽;手动轮椅;无障碍|轮椅
🦼;电动轮椅;无障碍|轮椅
🛺;三轮摩托车;三脚鸡|三蹦子|嘟嘟车|电动三轮车|自动人力车|黄包车
🚲;自行车;单车|脚踏车|自行车骑士|飞驰|骑车|骑车疾驰
🛴;滑板车;
⛽;油泵;加油|加油站|柴油|燃料|燃油
🚨;警车灯;灯|紧急|警报|警灯|警示
🚥;横向的红绿灯;交通灯|信号灯|红绿灯
🚦;纵向的红绿灯;交叉口|交通灯|信号灯|直的红绿灯|红绿灯
🛑;停止标志;停止|八角形|八边形|标志
🚧;路障;施工
⚓;锚;停泊|工具|船
⛵;帆船;游艇|船|驾帆船
🛶;独木舟;船
🚤;快艇;亿万富翁|船|豪华游艇
🛳️;客轮;客船|旅客
⛴️;渡轮;旅客|渡船|轮船
🛥️;摩托艇;船
🚢;船;旅客|旅行
✈️;飞机;喷气机|旅行|飞行
🛩️;小型飞机;小飞机|飞机
🛫;航班起飞;值机|出境|报到|登机|离境|航班|起飞|飞机
🛬;航班降落;到达|着陆|航班|降落|飞机
💺;座位;位子|椅子
🚁;直升机;旅行|直升飞机
🚟;空轨;悬挂|悬挂式单轨|空中轨道列车
🚠;缆车;空中|索道
🚡;索道;空中|缆车
🛰️;卫星;太空
🚀;火箭;发射|太空|旅行
🛸;飞碟;UFO|不明飞行物|外星人|外星球
🌌;银河;太空|星空
🎖️;军功章;军队|勋章|奖章
🏆;奖杯;冠军|奖励|奖品|奖赏|胜利|获胜
🏅;奖牌;获胜|运动会奖牌|运动员|金牌
🥇;金牌;奖牌|第一|第一名奖牌
🥈;银牌;亚军|奖牌|第二|第二名奖牌
🥉;铜牌;奖牌|季军|第三|第三名奖牌
⚽;足球;大罗|梅西|球|球赛|罗纳尔多|胖罗|英式足球|运动
⚾;棒球;球|运动
🥎;垒球;手套|球|腋下|运动
🏀;篮球;打球|球|篮筐|运动
🏐;排球;球|球赛
🏈;美式橄榄球;橄榄球|球
🏉;英式橄榄球;橄榄球|球|运动
🎾;网球;球|球拍|网球拍
🥏;飞盘;圆盘|极限|极限运动|终极
🎳;保龄球;全倒|球|运动
🏏;板球;球|球拍
🏑;曲棍球;球|球棍|球赛
🏒;冰球;冰球杆|球|球棍
🥍;袋棍球;得分|球|球棍|球门|运动|长曲棍球
🏓;乒乓球;乒乓|桌球|比赛|球|球拍
🏸;羽毛球;球拍|羽球
🥊;拳击手套;手套|拳击
🥋;练武服;制服|柔道|武术|空手道|跆拳道
🥅;球门;球网
⛳;高尔夫球洞;果岭|果岭旗|球洞|高尔夫|高球
⛸️;滑冰;冰刀|溜冰
🎣;钓鱼竿;钓竿|鱼杆
🤿;潜水面罩;浮潜|深潜|潜水
🎽;运动背心;上衣|跑步|运动服|饰带
🎿;滑雪;运动|雪
🛷;雪橇;下雪|乘雪橇|平底雪橇|驾雪橇
🥌;冰壶;冰上溜石|比赛|游戏|石壶
🎯;正中靶心的飞镖;命中|标的|直接命中|要害|靶心|飞镖
🪀;悠悠球;上下起落|溜溜球|犹豫不决|玩具
🪁;风筝;翱翔|飞翔
🎱;台球;8 球制桌球|8号球|台球台|游戏|霹雳八球
🎮;游戏手柄;手柄|游戏|游戏控制器|电子游戏
🕹️;游戏操控杆;操控杆|游戏|电子游戏
🎲;骰子;掷骰子|色子|骰子游戏
♟️;兵;受骗者|国际象棋|牺牲品
🛍️;购物袋;包|袋|购物|逛街
📿;念珠;宗教|珠子|祈祷|项链
💎;宝石;婚礼|珠宝|订婚|钻石
🎙️;录音室麦克风;录音室|音乐|麦|麦克|麦克风
🎚️;电平滑块;滑块|电平|调节|调节滑块|音乐|音量
🎛️;控制旋钮;控制|旋钮|调节|音乐
📻;收音机;娱乐|广播|广播电台|无线电|电台
📱;手机;手提电话|智能手机|电话|移动|移动电话|移动通信|通信
📲;带有箭头的手机;手机|接收|智能手机|来电|电话|移动电话|箭头|通信
☎️;电话;固定电话|固话|座机
📞;电话听筒;听筒|固定电话|固话|座机|电话|通信
📟;寻呼机;BB 机|传呼机|呼机|通信
📠;传真机;传真|传真号|发传真
🔋;电池;正极|电|电极|电源|蓄电池|负极
🪫;电池电量不足;低能量|电子|电池|电池电量低|电量不足
🔌;电源插头;插头|电插头|电源|电线
💻;笔记本电脑;PC|个人电脑|手提电脑|电脑
🖥️;台式电脑;PC|个人电脑|台式|显示器|显示屏|电脑|计算机
🖨️;打印机;印刷机|喷墨打印|复印|打印|扫描|激光打印
⌨️;键盘;打字|按键|电脑|输入
🖱️;电脑鼠标;有线鼠标|激光鼠标|点击|点按|电脑|鼠标
🖲️;轨迹球;有线鼠标|电脑|追踪球|鼠标
💽;电脑光盘;MD|minidisk|mini光盘|光盘|电脑|迷你光盘|迷你光碟|迷你唱片
💾;软盘;3.5英寸|便携|存储|电脑|磁盘
💿;光盘;cd|专辑|存储|影片|蓝光|音乐
📀;DVD;光盘|光碟|影片|电脑|蓝光|音乐
🧮;算盘;计算|计算器
🎥;电影摄影机;录像|摄像机|摄录机|摄影|摄影机|电影
🎞️;影片帧;帧|电影|电影胶卷|电影胶片|胶卷|胶片
📽️;电影放映机;影片|投影仪|放映机|电影|视频
📺;电视机;电视|看电视|视频|节目
📷;相机;卡片相机|拍照|摄影|照片|照相机|自拍
📸;开闪光灯的相机;带闪光灯的相机|拍照|相机|闪光灯|闪光灯打开
📹;摄像机;录像|录像机|录影|拍摄|摄影机|视频
🔍;左斜的放大镜;工具|搜索|放大|放大镜|查找
🔎;右斜的放大镜;工具|搜索|放大|放大镜|查找
🕯️;蜡烛;光|烛光|烛火|照明|燃烧
💡;灯泡;主意|想法|点子|电|电灯泡|白炽灯
🔦;手电筒;光|工具|手电|照明|电筒
🏮;红灯笼;光|喜庆|居酒屋|日本|灯笼|节日|酒馆|餐馆
📕;合上的书本;书|书本|书本合起|合上
📖;打开的书本;书|书本|图书馆|小说|开卷|打开|知识|读书|阅读
📗;绿色书本;书|书本|图书馆|教育|绿|绿皮书|绿色|阅读
📘;蓝色书本;书|书本|图书馆|教育|篮|蓝皮书|蓝色|阅读
📙;橙色书本;书|书本|图书馆|教育|橘皮书|橘色|橙色|阅读
📚;书;书本|书籍|图书|图书馆|学习|学校|小说|教育|知识|阅读
📓;笔记本;日记本|本子|笔记|记事本|记录
📃;带卷边的页面;卷曲|卷边|文书|文件|文档|纸张|页面
📜;卷轴;卷纸|画卷|纸|纸卷|羊皮纸
📄;文件;文书|文档|页面向上
📰;报纸;传播|报道|新闻|看报|纸|读报
🗞️;报纸卷;卷起|卷起的报纸|报纸|新闻|纸
📑;标签页;书签|书签页标签|有书签的页面|标签
🔖;书签;标签|读书|阅读
🏷️;标签;吊牌|标记|行李牌
🪙;硬币;富有|欧元|美元|财富|金|金属|金币|钱|银
💰;钱袋;付钱|十亿|变现|守财奴|富有|有钱|现金|百万|美元|赌钱|赢钱|钱|钱包|银行
💴;日元;日币|现金|纸币|货币|钞票|钱|银行
💵;美元;现金|纸币|美刀|美钞|货币|钱|银行
💶;欧元;现金|纸币|货币|钞票|钱|银行
💷;英镑;现金|纸币|货币|钞票|钱|银行
💸;长翅膀的钱;纸币|翅膀|花钱|钱|飞
💳;信用卡;信用|借记卡|刷卡|卡|收钱|现金|现金卡|贷记卡|银行|银行卡
🧾;收据;会计|信封|凭据|发票|收条|簿记|记账|证据|证明|账单
✉️;信封;信件|信息|来信|电子邮件|电邮|邮件
📧;电子邮件;信件|信封|电邮|邮件
📨;来信;信件|信封|发送|接收|收信|收到来信|收到邮件|电子邮件|电邮|邮件
📩;收邮件;信件|信封|发信|发出|发送|发邮件|有箭头的信封|邮件
📦;包裹;快递|指向|盒子|箱子|装货|运送
📫;有待收信件;信箱|旗标|有新信件|邮箱|邮箱关闭红旗升起
📪;无待收信件;信箱|信箱关闭红旗放下|放下|旗标|无新信件
📬;有新信件;信箱|信箱打开红旗升起|打开|旗标|有待收信件
📭;无新信件;信箱|信箱打开|信箱打开红旗放下|旗标|无待收信件|邮件|邮递
📮;邮筒;信|信箱|寄信|邮箱
🗳️;投票箱;投票|盒子|票箱|选举|选票
✏️;铅笔;橡皮|橡皮擦|画画|画笔|笔|绘画
✒️;钢笔尖;写字|硬笔|笔|笔尖|钢笔|黑色笔尖
🖋️;钢笔;写字|硬笔|笔
🖊️;笔;原子笔|圆珠笔|油笔
🖌️;画笔;刷|毛笔|画刷|笔刷
🖍️;蜡笔;油画棒|画棒
📝;备忘录;便条|便条簿|便笺|铅笔
📁;文件夹;办公|文件|文具|硬纸夹
📂;打开的文件夹;办公|打开|打开文件夹|文件|文件夹|文具
🗂️;索引分隔文件夹;分隔|分隔卡|文件夹|索引|隔板
📅;日历;日期
📆;手撕日历;日历|日期
🗒️;线圈本;文具|笔记本|线圈|记事本
🗓️;线圈日历;日历|日期|线圈|记事本
📇;卡片索引;卡片|卡牌索引|名片索引|目录|索引
📈;趋势向上的图表;上升|上涨|上涨图表|上涨趋势线|向上|图表|成长|趋势线
📉;趋势向下的图表;下跌|下跌图表|下跌趋势线|下降|向下|图表|趋势线
📊;条形图;图形|图表|柱形图|直方图|资料|长条图
📋;剪贴板;写字夹板|写字板|剪贴簿|夹子|待办事项|待办表|纸张
📌;图钉;固定|拼贴|按钉
📍;圆图钉;位置|固定|图钉
📎;回形针;万字夹|回纹针|曲别针|纸夹
🖇️;连起来的两个回形针;万字夹|回形针|回纹针|曲别针|纸夹|连接|连接的回形针
📏;直尺;尺|尺子|数学|文具|测量|量|长度
📐;三角尺;三角|尺|数学|文具|测量|角|角度
✂️;剪刀;修剪|剪|剪子|剪裁|工具
🗃️;卡片盒;卡片|存档|文件|标签|档案|箱|索引
🗄️;文件柜;存档|归档|收纳|柜|档案
🗑️;垃圾桶;垃圾|垃圾篓|废纸篓
🔒;合上的锁;上锁|私密|锁|锁住|锁头|锁定
🔓;打开的锁;取消锁定|开锁|打开|破解|解锁|锁
🔏;墨水笔和锁;笔|笔尖|钢笔|锁|隐私
🔐;钥匙和锁;安全|脚踏车锁|钥匙|锁|锁上
🔑;钥匙;密码|密钥|开锁|解锁|锁
🗝️;老式钥匙;古老的钥匙|旧钥匙|线索|钥匙
🔨;锤子;修理|家居修缮|工具|敲|施工|砸|铁锤
🪓;斧头;切|劈|木头|砍
⛏️;铁镐;工具|挖|挖掘|采矿|锄头|鹤嘴锄
⚒️;锤子与镐;工具|铁锤|铁镐|锤子|镐|镐子
🛠️;锤子与扳手;工具|扳手|铁锤|锤子
🗡️;匕首;剑|武器|短刀|短剑
⚔️;交叉放置的剑;交叉|剑|十字|双剑|战死|武器
💣;炸弹;爆炸
🛡️;盾牌;武器|盾|防御
🪚;木工锯;修剪|工具|木匠|木材|锯|锯子
🔧;扳手;家居修缮|工具|螺丝扳手
🪛;螺丝刀;工具|螺丝
🔩;螺母与螺栓;工具|螺丝|螺帽|螺栓|螺母|螺钉
⚙️;齿轮;传动|工具|机械|零件
⚖️;天平;公平|公正|天秤|天秤座|星座|正义|法律
🔗;链接;网址|链条|锁链
⛓️;链条;铁链|链|锁链
🧰;工具箱;大箱子|工具|机修|箱子|红盒子
🧲;磁铁;U 型|吸引|吸引力|正负|磁性|马蹄铁
🪜;梯子;台阶|梯级|横档|爬|爬梯|阶梯
⚗️;蒸馏器;净化|化学|实验|工具|蒸馏
🧪;试管;化学|化学家|实验|实验室|科学
🧫;培养皿;培养|实验室|生物学|生物学家|细菌
🧬;DNA;基因|演化|生命|生物学家|进化|遗传学
🔬;显微镜;实验|实验室|工具|生物|科学|细胞
🔭;望远镜;外星人|天体|天文|天文学|工具|接触|科学|观星
📡;卫星天线;信号接收|卫星|卫星接收天线|卫星碟形天线|外星人|天线|接触
💉;注射器;医学|医生|工具|打针|接种|治疗|疫苗|药|针头|针筒
🩸;血滴;医疗|月经|流血|献血|经血|输血
💊;药丸;医生|吃药|治疗|生病|用药|维他命|药|药物
🩹;创可贴;OK绷|伤口|受伤|绷带|胶布
🩺;听诊器;医生|医疗|心脏|心跳|诊断
🚪;门;出入口|前门|后门|大门|屋门|房门|房间
🪞;镜子;化妆|反射|反射镜|窥镜
🪟;窗户;开窗|新鲜空气|景色|窗口|窗框|透明
🛏️;床;宾馆|床垫|床铺|睡|睡眠|睡觉
🛋️;沙发和灯;家|沙发|灯|阅读
🪑;椅子;坐|坐下|座位|椅背
🚽;马桶;WC|卫生间|厕所|洗手间
🪠;活塞;便便|吸力|搋子|水管工|通厕所|马桶
🚿;淋浴;喷头|喷水|水|洗澡 花洒|花洒
🛁;浴缸;沐浴|泡沫浴|泡澡|洗澡|浴盆|澡盆
🪤;捕鼠器;奶酪|老鼠夹|诱饵|陷进|陷阱
🪒;剃须刀;刀|刮|刮刀|剃刀|毛|胡子|锋利
🧴;乳液瓶;乳液|保湿乳液|护肤霜|洗剂瓶|洗发水|洗发露|防嗮霜|防晒霜
🧷;安全别针;别针|扣针
🧹;扫帚;女巫|巫婆|打扫|扫地|清洁
🧺;筐;农作|洗衣|种植|篮子|脏衣篮|野餐
🧻;卷纸;卫生纸|手纸|纸卷|纸巾
🪣;桶;大桶|木桶|水桶|缸
🧼;皂;杀菌|泡沫|洗手|洗澡|清洁|肥皂|肥皂泡|肥皂盒|肥皂盘
🪥;牙刷;刷|刷子|卫生|情节|洗漱|浴室|清洁|牙科|牙齿
🧽;海绵;吸收|吸水|多孔|浸泡|清洁|渗透
🧯;灭火器;压制|火灾|灭火|熄灭
🛒;购物车;手推车|购物|采购
🚬;香烟;卷烟|吸烟|抽烟|烟|烟草
⚰️;棺材;埋葬|死亡|灵柩|葬礼|陵墓
🪦;墓碑;公墓|坟墓|墓园|墓地|安息|死亡|纪念
⚱️;骨灰缸;丧礼|死亡|瓮|缸|葬礼|骨灰|骨灰罐
🧿;纳扎尔护身符;小装饰品|恶魔之眼|护身符|珠子|符咒|纳扎尔|蓝色|邪眼
🪬;法蒂玛之手;保护|好运|手|手掌|护身符|法蒂玛|玛丽|米里亚姆
🪧;标语牌;告示|布告|标志|标牌|标语|海报|示威|纠察队标语牌|警戒哨
⚠️;警告;小心
⛔;禁止通行;交通|禁止入内|禁行|请勿入内|请勿驶入
🚫;禁止;不准|不许|严禁|禁入|禁行|阻止
🔄;逆时针箭头按钮;倒转|再次|刷新|箭头|逆时针|逆时针箭头
🔁;重复按钮;循环|循环播放|箭头|顺时针
🔂;重复一次按钮;单曲循环|循环|箭头|顺时针
▶️;播放按钮;三角|右|向右|播放|箭头
⏸️;暂停按钮;停止|双条形|暂停
⏹️;停止按钮;停止|方形|正方形|终止
✖️;乘;x|乘号|取消|相乘|符号
➕;加;加号|十字|数学|相加|符号
➖;减;减号|数学|横线|符号
➗;除;数学|相除|符号|除号
‼️;双感叹号;！|！！|两个|双叹号|叹号|吃惊|标点符号
⁉️;感叹疑问号;！|！？|？|叹号|叹号加问号|吃惊|标点符号|疑问惊叹号|问号
❓;红色问号;为什么|标点|标点符号|疑问|问号
❗;红色感叹号;！|叹号|吃惊|惊讶|感叹|感叹号|标点符号
💲;粗美元符号;现金|美元|美元符号|美刀|货币|金钱
✅;勾号按钮;勾|勾号|完成|打勾|按钮|绿色打勾
❌;叉号;x|乘|交叉|取消|相乘|符号
0️⃣;按键: 0;0|按键
1️⃣;按键: 1;1|一|按键
2️⃣;按键: 2;2|二|按键
3️⃣;按键: 3;3|三|按键
4️⃣;按键: 4;4|四|按键
5️⃣;按键: 5;5|五|按键
6️⃣;按键: 6;6|六|按键
7️⃣;按键: 7;7|七|按键
8️⃣;按键: 8;8|八|按键
9️⃣;按键: 9;9|九|按键
🔟;按键: 10;按键
🏁;黑白方格旗;方格|格子旗|竞赛|终点|终点旗|黑白方格
🚩;三角旗;升旗|旗|旗杆上的三角旗|旗杆上的旗帜|红色旗帜|高尔夫
🎌;交叉旗;对叉|旗|旗帜|日本
🏴;黑旗;举黑旗|摇黑棋|黑色旗|黑色旗子|黑色旗帜
🏳️;白旗;举白旗|摇白旗|白色旗子|白色旗帜
